PRODUCT CATEGORY,PRODUCT SUB CATEGORY,PRODUCT NAME,STOCKCODE,BRAND NAME,COLOURS,PRICE,DISCOUNTED PRICE,OUT OF STOCK,IMAGE1,ITEM DESCRIPTION / FEATURES,UNIT,CLEARANCE (Y/N),CLEARANCE FROM,Clearance to (Expiry Date),New Arrival (Y/N),New Arrival (Start Date),New Arrival (End Date)
ATHLETICS,ATHLETICS ACCESSORIES,Elbow Support Neoprene,0270000382,JOEREX,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Elbow_Support_Neoprene_JOEREX_0270000382.JPG,,PC,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Elbow Support Neoprene,0270000383,JOEREX,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Elbow_Support_Neoprene_JOEREX_0270000383.JPG,,PC,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Elbow Supporter,0270000389,SUPER-K,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Elbow_Supporter_SUPER_K_0270000389.JPG,,PC,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Finger Protector,0270000107,JOEREX,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Finger_Protector_JOEREX_0270000107.JPG,,SET OF,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Gloves Supporter,0280000597,SUPER-K,NAVY,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Gloves_Supporter_SUPER_K_0280000597.JPG,,PR,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Gloves Supporter,0280000598,SUPER-K,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Gloves_Supporter_SUPER_K_0280000598.JPG,,PR,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Knee Support Knitting,0270000330,JOEREX,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Knee_Support_Knitting_JOEREX_0270000330.JPG,"Provides the support & protection you
need for an active lifestyle
Neoprene blend material retains body
heat for additional comfort",PC,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Knee Supporter,0270000388,SUPER-K,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Knee_Supporter_SUPER_K_0270000388.JPG,,PC,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Multi Purpose Carry Bag,2300000204,GISCO,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Multi_Purpose_Carry_Bag_GISCO_2300000204.JPG,,EACH,N,,,N,,
ATHLETICS,ATHLETICS ACCESSORIES,Spikes For Shoes Needle 5Mm,0280000602,GISCO,,,,N,ATHLETICS_ATHLETICS_ACCESSORIES_Spikes_For_Shoes_Needle_5Mm_GISCO_0280000602.JPG,,PKT,N,,,N,,
