PRODUCT CATEGORY,PRODUCT SUB CATEGORY,PRODUCT NAME,STOCKCODE,BRAND NAME,COLOURS,PRICE,DISCOUNTED PRICE,OUT OF STOCK,IMAGE1,ITEM DESCRIPTION / FEATURES,UNIT,CLEARANCE (Y/N),CLEARANCE FROM,Clearance to (Expiry Date),New Arrival (Y/N),New Arrival (Start Date),New Arrival (End Date),
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey Campeon,880000600,ADIDAS,BLACK/WHITE,6200,3500,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_Campeon_ADIDAS_0880000600.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey F50 Ss,880000458,ADIDAS,,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_F50_Ss_ADIDAS_0880000458.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey Fineknit,980000032,CONNATE,B YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_Fineknit_CONNATE_0980000032.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey Graphic,880000295,ADIDAS,BLACK/GREY/L.GREEN,4200,2000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_Graphic_ADIDAS_0880000295.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey L/Slv Powercat 1.12,790000384,PUMA,DKGREY/LIME,6600,4000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_L_Slv_Powercat_1_12_PUMA_0790000384.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey L/Slv Powercat 3.10,790000383,PUMA,GREY/LIME,5500,3500,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_L_Slv_Powercat_3_10_PUMA_0790000383.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey L/Slv Speed,790000385,PUMA,LT BRWN/SKY,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_L_Slv_Speed_PUMA_0790000385.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey L/Slv V3.08,790000382,PUMA,L-GREEN/BLACK,7000,4000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_L_Slv_V3_08_PUMA_0790000382.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey Parada,880000294,ADIDAS,YELLOW/BLACK/RED,4200,2000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_Parada_ADIDAS_0880000294.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey Trofeo,880000338,ADIDAS,,,,Y,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_Trofeo_ADIDAS_0880000338.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey V3.08,790000227,PUMA,BLACK/WHITE,5300,1500,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_V3_08_PUMA_0790000227.JPG,,EACH,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey V3.08 Graph L/Sleev,790000216,PUMA,GREEN/BLACK,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_V3_08_Graph_L_Sleev_PUMA_0790000216.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Jersey V3.08 L/Sleeve,790000215,PUMA,ORANGE/BLACK,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Jersey_V3_08_L_Sleeve_PUMA_0790000215.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,ssssssss,121000058,PEAK,TURQUOISE/BLK,1600,1000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Long_Sleeve_Shirt_PEAK_0121000058.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Long Sleeve Shirt,121000059,PEAK,BLK/GRY,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Long_Sleeve_Shirt_PEAK_0121000059.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Pant,121000061,PEAK,BLK/WHT,,,Y,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Pant_PEAK_0121000061.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Pant,790000388,PUMA,BLACK,5000,3000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Pant_PUMA_0790000388.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Pant Brasil,980000132,CONNATE,B.GRN,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Pant_Brasil_CONNATE_0980000132.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Pant Long,790000217,PUMA,BLACK/WHITE,6800,2500,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Pant_Long_PUMA_0790000217.JPG,,PR,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Pant Tierro,880000315,ADIDAS,,,,Y,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Pant_Tierro_ADIDAS_0880000315.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts,121000060,PEAK,BLK/WHT,,,Y,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Shorts_PEAK_0121000060.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts,790000386,PUMA,BLACK,3800,2000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Shorts_PUMA_0790000386.JPG,,PC,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts Fineknit,980000033,CONNATE,BLACK,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Shorts_Fineknit_CONNATE_0980000033.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts Padded Olympia,980000313,CONNATE,BLACK,,,N,,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts Powercat 1.12,790000387,PUMA,DKGREY/LIME,,,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Shorts_Powercat_1_12_PUMA_0790000387.JPG,,PC,N,,,N,,,
UNIFORMS,FOOTBALL GOAL KEEPER UNIFORMS,G/K Shorts Team,790000218,PUMA,BLACK/WHITE,4000,2000,N,UNIFORMS_FOOTBALL_GOAL_KEEPER_UNIFORMS_G_K_Shorts_Team_PUMA_0790000218.JPG,,PR,Y,01/02/2016,29/02/2016,N,,,
UNIFORMS,FOOTBALL REFEREE UNIFORMS,Jersey Referee,980000205,CONNATE,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_REFEREE_UNIFORMS_Jersey_Referee_CONNATE_0980000205.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL REFEREE UNIFORMS,Short Referee,980000206,CONNATE,BLACK,,,N,UNIFORMS_FOOTBALL_REFEREE_UNIFORMS_Short_Referee_CONNATE_0980000206.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock 12,880002065,ADIDAS,WHITE/GREY/BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_12_ADIDAS_0880002065.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock 12,880002066,ADIDAS,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_12_ADIDAS_0880002066.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock 12,880002067,ADIDAS,YELLOW/GREY/BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_12_ADIDAS_0880002067.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock -3Str Black/White,880000559,ADIDAS,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_3Str_Black_White_ADIDAS_0880000559.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock -3Str Grn/Wht,880000765,ADIDAS,GREEN/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_3Str_Grn_Wht_ADIDAS_0880000765.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock -3Str White/Royal,880000556,ADIDAS,WHITE/ROYAL,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_3Str_White_Royal_ADIDAS_0880000556.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Adisock -3Str Yell/Blk,880000767,ADIDAS,YELLOW/BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Adisock_3Str_Yell_Blk_ADIDAS_0880000767.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Calcio 24,983000004,JOMA,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Calcio_24_JOMA_0983000004.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Classic 2,983000005,JOMA,BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Classic_2_JOMA_0983000005.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings F/Ball Polynylon,4900040300,CONNATE,BLACK/WHIT,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_F_Ball_Polynylon_CONNATE_4900040300.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings F/Ball Polynylon 100% (Hoops),4900000147,CONNATE,NAVY/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_F_Ball_Polynylon_100_Hoops_CONNATE_4900000147.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings F50 Training,880000506,ADIDAS,BLACK/MAROON/YELLOW,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_F50_Training_ADIDAS_0880000506.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Football Senior,121000009,PEAK,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Football_Senior_PEAK_0121000009.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Football Speed,790000389,PUMA,GREEN/RED,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Football_Speed_PUMA_0790000389.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Football Vencida,790000390,PUMA,GREEN/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Football_Vencida_PUMA_0790000390.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Kenya Stripe Youth,4900000064,CONNATE,GREEN/RED/BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Kenya_Stripe_Youth_CONNATE_4900000064.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Mesuca,4900000148,MESUCA,BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Mesuca_MESUCA_4900000148.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings New Santos,880000302,ADIDAS,WHITE/BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_New_Santos_ADIDAS_0880000302.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings New Santos,880000303,ADIDAS,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_New_Santos_ADIDAS_0880000303.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Orange/White,4900000083,MESUCA,ORANGE/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Orange_White_MESUCA_4900000083.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Plain S.Yell,4900000118,MESUCA,S.YELLOW,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Plain_S_Yell_MESUCA_4900000118.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer,790000226,PUMA,BLACK/GOLD,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_PUMA_0790000226.JPG,,EACH,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Green/White-Sb54282-P,4900000074,MESUCA,GREEN/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Green_White_Sb54282_P_MESUCA_4900000074.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Plain Orange-Sb54282-R,4900000112,MESUCA,ORANGE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Plain_Orange_Sb54282_R_MESUCA_4900000112.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Plain P.Green-Sb54282-R,4900000113,MESUCA,P.GREEN,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Plain_P_Green_Sb54282_R_MESUCA_4900000113.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Soccer Red/White-Sb54282-P,4900000072,MESUCA,RED/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Soccer_Red_White_Sb54282_P_MESUCA_4900000072.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002254,ADIDAS,GREY/RED/PURPLE,,,N,,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002255,ADIDAS,WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Solid_Crew_Pack_Of_3Pairs_ADIDAS_0880002255.JPG,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Solid Crew (Pack Of 3Pairs),880002256,ADIDAS,BLACK,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Solid_Crew_Pack_Of_3Pairs_ADIDAS_0880002256.JPG,,PACK,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Tusker Fc ,4900000069,TK,,,,N,,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings White/Yellow,4900000084,MESUCA,WHITE/YELLOW,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_White_Yellow_MESUCA_4900000084.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Yellow/White,4900000075,MESUCA,YELLOW/WHITE,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Yellow_White_MESUCA_4900000075.JPG,,PR,N,,,N,,,
UNIFORMS,FOOTBALL STOCKINGS,Stockings Zebra,983000006,JOMA,BLACK/RED,,,N,UNIFORMS_FOOTBALL_STOCKINGS_Stockings_Zebra_JOMA_0983000006.JPG,,PAIR,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform  Europa Ii/Real Jer/Shr Set Of 16,983000017,JOMA,NAVY/SKY,,,Y,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform  Europa Ii/Tokio Jersey/Short ,983000016,JOMA,BLACK/WHITE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Europa_Ii_Tokio_Jersey_Short_JOMA_0983000016.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform (12 Pcs),980000243,CONNATE,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_12_Pcs_CONNATE_0980000243.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Asst Set,980000260,OTHERS,,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Asst_Set_OTHERS_0980000260.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jer+Shrt Navy/Orng-Ps09-01,7008000067,MESUCA,NAVY/ORANGE,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jer_Shrt_Navy_Orng_Ps09_01_MESUCA_7008000067.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jer+Shrt White/Black-Ps09-,7008000074,MESUCA,WHITE/BLACK,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jer_Shrt_White_Black_Ps09_MESUCA_7008000074.JPG,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000066,MESUCA,P.GREEN/S.YELLOW,,,N,,,SET,N,,,N,,,
UNIFORMS,FOOTBALL UNIFORMS,F/Ball Uniform Bari Jersey/Short,7008000068,MESUCA,ROYAL/SKY,,,N,UNIFORMS_FOOTBALL_UNIFORMS_F_Ball_Uniform_Bari_Jersey_Short_MESUCA_7008000068.JPG,,SET,N,,,N,,,
